City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,mombetsu,44.3525,143.3525,9.01,87,75,2.57,JP,1683688556
232,touros,-5.1989,-35.4608,25.44,87,20,4.61,BR,1683688557
233,argo,37.6333,22.7333,16.55,87,97,2.42,GR,1683688557
234,mmabatho,-25.85,25.6333,7.98,87,0,1.03,ZA,1683688557
235,kyaikto,17.3,97.0167,32.33,59,94,3.71,MM,1683688557
236,berdigestyakh,62.0989,126.6992,7.92,91,69,5.18,RU,1683688185
237,mizdah,31.4451,12.9801,14.13,78,74,11.36,LY,1683688558
238,puerto maldonado,-12.6,-69.1833,20.9,94,100,1.12,PE,1683688558
239,codrington,-38.2667,141.9667,15.09,56,100,1.98,AU,1683688558
240,quepos,9.4236,-84.1652,27.58,77,67,0.91,CR,1683688153
241,maitum,6.0392,124.4986,30.26,69,100,2.59,PH,1683688559
242,tura,25.5198,90.2201,31.9,34,1,2.98,IN,1683688189
243,hami,42.8,93.45,20.57,22,10,5.2,CN,1683688142
244,petersburg,37.2279,-77.4019,15.11,84,0,0.0,US,1683688560
245,praia da vitoria,38.7333,-27.0667,18.2,98,47,7.02,PT,1683688499
246,bahia honda,22.9036,-83.1592,25.0,83,74,3.55,CU,1683688560
247,meadow lakes,61.6247,-149.6011,10.76,51,40,4.12,US,1683688560
248,chinde,26.8418,88.0763,25.17,27,0,2.29,NP,1683688227
249,placido de castro,-10.3353,-67.1856,20.8,99,100,1.17,BR,1683688561
250,concepcion,-36.827,-73.0498,10.89,87,100,3.09,CL,1683688319
251,turpan,42.9333,89.1667,25.96,17,0,1.3,CN,1683688561
252,naze,28.3667,129.4833,20.47,60,1,6.88,JP,1683688247
253,basco,20.4487,121.9702,24.9,70,87,7.5,PH,1683688242
254,pauini,-7.7136,-66.9764,21.35,95,100,0.86,BR,1683688562
255,komsomol'skiy,43.9783,46.6985,13.63,74,9,2.55,RU,1683688562
256,praya,14.9215,-23.5087,22.3,78,20,4.12,CV,1683688562
257,palmer,42.1584,-72.3287,9.78,59,40,0.0,US,1683688563
258,mejit,10.2753,170.8646,27.51,82,99,7.58,MH,1683688563
259,yomju-up,39.8933,124.5981,20.08,35,100,2.89,KP,1683688563
260,east london,-33.0153,27.9116,16.63,75,2,4.17,ZA,1683688232
261,baidoa,3.1138,43.6498,21.06,97,60,4.5,SO,1683688563
262,rudnyy,52.9594,63.1206,9.13,75,100,4.11,KZ,1683688564
263,kindu,-2.95,25.95,20.76,99,100,0.03,CD,1683688564
264,fort mcmurray,56.7268,-111.381,15.09,67,97,0.82,CA,1683688174
265,pita,10.8333,-12.5833,24.2,73,100,1.19,GN,1683688564
266,kingston,17.997,-76.7936,26.25,85,94,0.45,JM,1683687945
267,cooma,-36.2333,149.1333,13.04,52,0,1.99,AU,1683688261
268,san-pedro,4.7485,-6.6363,26.65,88,100,1.67,CI,1683688162
269,belle fourche,44.6714,-103.8522,20.18,37,58,1.62,US,1683688566
270,gulf breeze,30.3571,-87.1639,24.41,92,0,0.0,US,1683688566
271,port augusta,-32.5,137.7667,18.65,43,0,0.56,AU,1683688567
272,shenjiamen,29.9576,122.298,17.06,56,84,2.8,CN,1683688567
273,camana,-16.6228,-72.7111,19.86,85,28,3.1,PE,1683688567
274,san antonio de pale,-1.4014,5.6325,27.99,81,31,4.05,GQ,1683688162
275,flekkefjord,58.2971,6.6607,9.01,93,100,6.66,NO,1683688568
276,geraldton,-28.7667,114.6,22.35,58,20,5.85,AU,1683688139
277,ubon ratchathani,15.1667,105.1667,27.94,54,86,1.46,TH,1683688568
278,ushuaia,-54.8,-68.3,1.81,69,0,2.06,AR,1683688136
279,kavieng,-2.5744,150.7967,29.37,70,93,1.0,PG,1683688236
280,floresta,-8.6011,-38.5686,22.69,84,94,3.03,BR,1683688569
281,nar'yan-mar,67.6713,53.087,-1.25,88,99,4.66,RU,1683688569
282,queenstown,-31.8976,26.8753,8.19,67,1,0.99,ZA,1683688253
283,west plains,36.7281,-91.8524,21.46,88,0,2.06,US,1683688569
284,chabahar,25.2919,60.643,29.66,57,0,2.46,IR,1683688236
285,tolanaro,-25.0319,46.9987,20.74,93,9,3.83,MG,1683688254
286,hotan,37.0997,79.9269,18.79,10,16,2.16,CN,1683688570
287,terbanggi besar,-4.8667,105.2333,30.13,69,76,2.61,ID,1683688230
288,pacific grove,36.6177,-121.9166,15.62,83,75,3.6,US,1683687896
289,vila velha,-20.3297,-40.2925,22.19,97,0,0.0,BR,1683688125
290,inarajan village,13.2736,144.7484,31.54,92,49,4.73,GU,1683688571
291,wanning,18.8003,110.3967,28.04,84,68,3.44,CN,1683688571
292,aranda de duero,41.6704,-3.6892,7.36,91,85,2.6,ES,1683688571
293,prince rupert,54.3161,-130.3201,10.89,69,93,1.16,CA,1683688238
294,urumqi,43.801,87.6005,21.53,17,0,2.0,CN,1683688573
295,oranjemund,-28.55,16.4333,15.85,63,14,0.54,NA,1683688190
296,debila,33.5167,6.95,19.04,55,0,2.57,DZ,1683688573
297,diapaga,12.0708,1.7889,31.03,32,32,2.77,BF,1683688573
298,mount pearl,47.5166,-52.7813,4.52,79,75,15.95,CA,1683687882
299,road town,18.4167,-64.6167,28.05,76,87,7.9,VG,1683688499
300,tangalle,6.024,80.7911,27.09,80,90,5.16,LK,1683688244
301,bonthe,7.5264,-12.505,23.35,91,100,3.61,SL,1683688574
302,kangding,30.0513,101.9603,9.02,87,90,2.43,CN,1683688396
303,remire-montjoly,4.9167,-52.2667,25.02,94,75,3.09,GF,1683688164
304,ponta delgada,37.7333,-25.6667,18.4,94,75,3.09,PT,1683688199
305,kukawa,12.9234,13.5606,28.3,21,81,3.22,NG,1683688575
306,miles city,46.4083,-105.8406,16.54,51,0,3.6,US,1683688452
307,tuy hoa,13.0833,109.3,31.03,63,93,2.39,VN,1683688575
308,suva,-18.1416,178.4415,27.71,69,75,2.57,FJ,1683688576
309,fuling,29.7022,107.3919,16.62,95,100,0.78,CN,1683688576
310,karratha,-20.7377,116.8463,27.11,19,81,8.14,AU,1683688251
311,kiunga,-6.1219,141.2906,28.2,80,98,0.38,PG,1683688576
312,seaside,36.6111,-121.8516,15.89,83,75,3.6,US,1683688520
313,draganesti-olt,44.1667,24.5333,5.72,95,56,4.22,RO,1683688577
314,gangapur,26.4833,76.7167,31.75,13,0,3.21,IN,1683688577
315,okahandja,-21.9833,16.9167,16.33,31,0,3.19,NA,1683688577
316,dunedin,-45.8742,170.5036,11.56,69,100,0.89,NZ,1683688208
317,new norfolk,-42.7826,147.0587,14.28,61,91,0.89,AU,1683688218
